M,R,Ms,Ps,Da,Imax,Actual Imax,Lmax,OCWmin,OCWmax
10,9,9.997,0.9997,1073.6521899999998,16,14,4,31,31
20,9,19.853,0.99265,2237.4220830000004,16,14,4,31,31
30,9,28.219,0.940633,3356.9710719999994,16,14,4,31,31
40,9,32.141,0.803525,4001.4918839999996,16,14,4,31,31
50,9,30.915,0.6183,3983.1649780000002,16,14,4,31,31
60,9,27.302,0.455033,3624.6768349999993,16,14,4,31,31
70,9,23.772,0.3396,3235.806704000001,16,14,4,31,31
80,9,20.577,0.257212,2872.2113420000005,16,14,4,31,31
90,9,18.165,0.201833,2586.735411,16,14,4,31,31
100,9,16.161,0.16161,2358.7512,16,14,4,31,31
110,9,14.823,0.134755,2203.444022,16,14,4,31,31
120,9,13.561,0.113008,2047.5517010000005,16,14,4,31,31
130,9,12.71,0.097769,1943.5780389999998,16,14,4,31,31
140,9,12.057,0.086121,1865.3222640000004,16,14,4,31,31
150,9,11.43,0.0762,1783.3227100000001,16,14,4,31,31
160,9,11.016,0.06885,1732.3925450000004,16,14,4,31,31
170,9,10.603,0.062371,1678.832077,16,14,4,31,31
180,9,10.376,0.057644,1650.0748549999998,16,14,4,31,31
190,9,10.058,0.052937,1607.955921,16,14,4,31,31
200,9,9.704,0.04852,1557.9688019999999,16,14,4,31,31
