M,R,Ms,Ps,Da,Imax,Actual Imax,Lmax,OCWmin,OCWmax
10,18,5.97649,0.597649,577.19147473,1,1,1,15,15
20,18,6.75252,0.337626,652.13812404,1,1,1,15,15
30,18,5.71928,0.190643,552.35090456,1,1,1,15,15
40,18,4.30049,0.107512,415.32842273,1,1,1,15,15
50,18,3.02832,0.060566,292.46606064,1,1,1,15,15
60,18,2.05364,0.034227,198.33439028,1,1,1,15,15
70,18,1.35931,0.019419,131.27808187,1,1,1,15,15
80,18,0.87515,0.010939,84.51936155,1,1,1,15,15
90,18,0.5564,0.006182,53.7354428,1,1,1,15,15
100,18,0.3464,0.003464,33.4542728,1,1,1,15,15
110,18,0.21912,0.001992,21.16195224,1,1,1,15,15
120,18,0.13348,0.001112,12.89109796,1,1,1,15,15
130,18,0.08193,0.00063,7.912553610000001,1,1,1,15,15
140,18,0.04949,0.000354,4.7795957300000005,1,1,1,15,15
150,18,0.03048,0.000203,2.94366696,1,1,1,15,15
160,18,0.01898,0.000119,1.83303146,1,1,1,15,15
170,18,0.01142,6.7e-05,1.1029093399999998,1,1,1,15,15
180,18,0.00655,3.6e-05,0.63257935,1,1,1,15,15
190,18,0.00361,1.9e-05,0.34864297,1,1,1,15,15
200,18,0.00206,1e-05,0.19894862000000002,1,1,1,15,15
10,18,4.39809,0.439809,424.75433792999996,2,1,1,31,31
20,18,6.27878,0.313939,606.38573606,2,1,1,31,31
30,18,6.73199,0.2244,650.15539823,2,1,1,31,31
40,18,6.4119,0.160298,619.2420663,2,1,1,31,31
50,18,5.73206,0.114641,553.58515862,2,1,1,31,31
60,18,4.92398,0.082066,475.54321646000005,2,1,1,31,31
70,18,4.11038,0.05872,396.96816926,2,1,1,31,31
80,18,3.34641,0.04183,323.18623857,2,1,1,31,31
90,18,2.6993,0.029992,260.6902961,2,1,1,31,31
100,18,2.14594,0.021459,207.24844738000002,2,1,1,31,31
110,18,1.6861,0.015328,162.8384797,2,1,1,31,31
120,18,1.31695,0.010975,127.18708015,2,1,1,31,31
130,18,1.02404,0.007877,98.89871108,2,1,1,31,31
140,18,0.78274,0.005591,75.59468098,2,1,1,31,31
150,18,0.5985,0.00399,57.8013345,2,1,1,31,31
160,18,0.45776,0.002861,44.209087520000004,2,1,1,31,31
170,18,0.34804,0.002047,33.61265908,2,1,1,31,31
180,18,0.2681,0.001489,25.892293700000003,2,1,1,31,31
190,18,0.19951,0.00105,19.26807727,2,1,1,31,31
200,18,0.14945,0.000747,14.433432649999999,2,1,1,31,31
10,18,7.70015,0.770015,762.4538272,2,2,1,31,31
20,18,11.55323,0.577661,1145.67119277,2,2,1,31,31
30,18,13.01195,0.433732,1292.3518290799998,2,2,1,31,31
40,18,13.08419,0.327105,1301.5068742,2,2,1,31,31
50,18,12.37597,0.247519,1232.9406128,2,2,1,31,31
60,18,11.23617,0.18727,1121.10598067,2,2,1,31,31
70,18,9.98901,0.1427,998.15550627,2,2,1,31,31
80,18,8.70503,0.108813,871.0794328600001,2,2,1,31,31
90,18,7.4933,0.083259,750.9030475700001,2,2,1,31,31
100,18,6.3869,0.063869,640.93223792,2,2,1,31,31
110,18,5.39833,0.049076,542.4286972,2,2,1,31,31
120,18,4.55294,0.037941,458.07164182,2,2,1,31,31
130,18,3.79848,0.029219,382.62176953,2,2,1,31,31
140,18,3.1716,0.022654,319.85808153,2,2,1,31,31
150,18,2.63056,0.017537,265.5594812,2,2,1,31,31
160,18,2.18064,0.013629,220.36650129,2,2,1,31,31
170,18,1.80944,0.010644,183.03909312,2,2,1,31,31
180,18,1.4908,0.008282,150.96070171,2,2,1,31,31
190,18,1.2289,0.006468,124.53036049999999,2,2,1,31,31
200,18,1.01344,0.005067,102.79082099000001,2,2,1,31,31
10,18,5.98231,0.598231,577.75355287,2,1,2,7,7
20,18,6.75459,0.33773,652.3380384300001,2,1,2,7,7
30,18,5.7242,0.190807,552.8260634,2,1,2,7,7
40,18,4.3015,0.107538,415.4259655,2,1,2,7,7
50,18,3.04089,0.060818,293.68003353,2,1,2,7,7
60,18,2.0644,0.034407,199.3735588,2,1,2,7,7
70,18,1.35768,0.019395,131.12066135999999,2,1,2,7,7
80,18,0.87339,0.010917,84.34938603,2,1,2,7,7
90,18,0.56207,0.006245,54.28303439,2,1,2,7,7
100,18,0.34525,0.003452,33.34320925,2,1,2,7,7
110,18,0.21556,0.00196,20.81813812,2,1,2,7,7
120,18,0.13444,0.00112,12.983811880000001,2,1,2,7,7
130,18,0.08198,0.000631,7.91738246,2,1,2,7,7
140,18,0.05067,0.000362,4.89355659,2,1,2,7,7
150,18,0.03129,0.000209,3.0218943300000003,2,1,2,7,7
160,18,0.01722,0.000108,1.66305594,2,1,2,7,7
170,18,0.01125,6.6e-05,1.0864912500000001,2,1,2,7,7
180,18,0.00647,3.6e-05,0.6248531900000001,2,1,2,7,7
190,18,0.00354,1.9e-05,0.34188258000000005,2,1,2,7,7
200,18,0.00212,1.1e-05,0.20474323999999997,2,1,2,7,7
10,18,9.22456,0.922456,909.3044958400001,2,2,2,7,7
20,18,13.27049,0.663525,1318.6174781,2,2,2,7,7
30,18,12.11999,0.404,1206.85169969,2,2,2,7,7
40,18,9.22374,0.230593,918.76444023,2,2,2,7,7
50,18,6.44066,0.128813,641.3371227900001,2,2,2,7,7
60,18,4.29816,0.071636,427.8088412,2,2,2,7,7
70,18,2.79714,0.039959,278.31929125,2,2,2,7,7
80,18,1.78393,0.022299,177.44268321,2,2,2,7,7
90,18,1.12698,0.012522,112.08152839,2,2,2,7,7
100,18,0.70279,0.007028,69.88840053000001,2,2,2,7,7
110,18,0.43437,0.003949,43.17951989,2,2,2,7,7
120,18,0.26831,0.002236,26.67445378,2,2,2,7,7
130,18,0.16327,0.001256,16.22703797,2,2,2,7,7
140,18,0.09858,0.000704,9.80034991,2,2,2,7,7
150,18,0.06016,0.000401,5.98203619,2,2,2,7,7
160,18,0.03653,0.000228,3.62964771,2,2,2,7,7
170,18,0.02103,0.000124,2.08964223,2,2,2,7,7
180,18,0.01388,7.7e-05,1.38019895,2,2,2,7,7
190,18,0.00786,4.1e-05,0.78073983,2,2,2,7,7
200,18,0.00432,2.2e-05,0.43050618000000007,2,2,2,7,7
10,18,5.98114,0.598114,577.64055778,3,1,2,15,31
20,18,6.75197,0.337598,652.08500669,3,1,2,15,31
30,18,5.72602,0.190867,553.00183354,3,1,2,15,31
40,18,4.29972,0.107493,415.25405843999994,3,1,2,15,31
50,18,3.02638,0.060528,292.27870126000005,3,1,2,15,31
60,18,2.0539,0.034232,198.3595003,3,1,2,15,31
70,18,1.35748,0.019393,131.10134596,3,1,2,15,31
